,sentences
4477,"['In', 'vitro', 'culture', 'of', 'hemopoietic', 'progenitor', 'cells', 'of', 'the', 'heterozygous', 'mother', 'showed', 'that', 'the', 'majority', 'of', 'progenitor', 'cells', 'did', 'not', 'express', 'the', 'WAS', 'allele']"
4478,"['However', ',', 'a', 'small', 'number', 'of', 'cells', 'expressing', 'the', 'G-6-PD', 'type', 'linked', 'with', 'the', 'WAS', 'allele', 'were', 'detected']"
4479,"['The', 'proportion', 'of', 'the', 'latter', 'progenitors', 'was', 'significantly', 'higher', 'among', 'more', 'primitive', 'progenitors', '(', 'those', 'giving', 'rise', 'to', 'later', 'appearing', 'colonies', ')']"
4480,"['This', 'observation', 'suggests', 'that', 'selection', 'against', 'cells', 'expressing', 'the', 'Wiskott-Aldrich', 'defect', 'takes', 'place', 'in', 'the', 'hemopoietic', 'system', 'of', 'the', 'heterozygous', 'female', 'and', 'offers', 'a', 'possible', 'means', 'of', 'carrier', 'detection', 'in', 'some', 'women']"
4481,"['Linkage', 'studies', 'in', 'this', 'family', 'revealed', 'one', 'example', 'of', 'probable', 'recombination', 'between', 'the', 'loci', 'for', 'WAS', 'and', 'G-6-PD', 'among', 'three', 'informative', 'subjects', ',', 'suggesting', 'that', 'these', 'two', 'loci', 'may', 'not', 'be', 'closely', 'linked', 'on', 'the', 'X-chromosome']"
4482,[]
4483,"['A', 'new', 'CT', 'pattern', 'in', 'adrenoleukodystrophy']"
4484,"['A', 'new', 'CT', 'pattern', 'was', 'observed', 'in', '2', 'patients', 'with', 'adrenoleukodystrophy', '(', 'ALD', ')']"
4485,"['This', 'pattern', ',', 'which', 'the', 'authors', 'call', 'Type', 'II', ',', 'is', 'characterized', 'by', 'the', 'absence', 'of', 'posterior', 'periventricular', 'areas', 'of', 'decreased', 'attenuation', 'around', 'the', 'trigone', 'on', 'non-contrast', 'scans', 'after', 'contrast', 'infusion', ',', 'however', ',', 'there', 'is', 'striking', 'enhancement', 'of', 'various', 'white-matter', 'structures', '(', 'tracts', 'or', 'fiber', 'systems', ')', 'such', 'as', 'the', 'internal', 'capsules', ',', 'corpus', 'callosum', ',', 'corona', 'radiata', ',', 'forceps', 'major', ',', 'and', 'cerebral', 'peduncles']"
4486,"['This', 'is', 'different', 'from', 'numerous', 'previous', 'descriptions', 'of', 'the', 'CT', 'pattern', 'in', 'ALD']"
4487,"['Type', 'II', 'ALD', 'does', 'not', 'appear', 'to', 'have', 'been', 'seen', 'in', 'any', 'other', 'leukoencephalopathy', 'and', 'is', 'probably', 'specific', 'for', 'a', 'phenotypic', 'variant', 'or', 'an', 'evolving', 'stage', 'of', 'ALD']"
4488,[]
4489,"['Further', 'evidence', 'for', 'heterogeneity', 'of', 'glucose-6-phosphate', 'dehydrogenase', 'deficiency', 'in', 'Papua', 'New', 'Guinea.', 'Four', 'new', 'G6PD', 'variants', 'have', 'been', 'characterized', 'in', 'individuals', 'from', 'Papua', 'New', 'Guinea']"
4490,"['This', 'study', 'demonstrates', 'that', 'the', 'previously', 'reported', 'Markham', 'variant', 'and', 'the', 'newly', 'characterized', 'Salata', 'variant', 'may', 'be', 'widely', 'distributed', 'in', 'Papua', 'New', 'Guinea']"
4491,"['Th', 'data', 'presented', 'here', 'together', 'with', 'those', 'of', 'previously', 'published', 'studies', 'demonstrate', 'a', 'degree', 'of', 'heterogeneity', 'of', 'G6PD', 'deficiency', 'that', 'is', 'much', 'higher', 'than', 'that', 'in', 'other', 'regions', 'of', 'the', 'world', 'where', 'G6PD', 'deficiency', 'is', 'common']"
4492,[]
4493,"['Increased', 'incidence', 'of', 'cataracts', 'in', 'male', 'subjects', 'deficient', 'in', 'glucose-6-phosphate', 'dehydrogenase']"
4494,"['Glucose-6-phosphate', 'dehydrogenase', '(', 'G6PD', ')', 'deficiency', 'in', 'RBCs', 'was', 'found', 'significantly', 'more', 'frequently', 'in', '210', 'male', 'cataractous', 'patients', 'than', 'in', '672', 'control', 'subjects', 'of', 'Sardinian', 'origin']"
4495,"['The', 'frequency', 'of', 'the', 'deficiency', 'was', 'increasingly', 'higher', 'in', 'presenile', 'cataracts']"
4496,"['In', 'the', 'G6PD-deficient', 'group', ',', 'the', 'incidence', 'of', 'cortical', 'and', 'total', 'cataracts', 'was', 'also', 'increased']"
4497,"['It', 'is', 'suggested', 'that', 'decrease', 'of', 'the', 'G6PD', 'activity', 'in', 'the', 'lens', ',', 'which', 'accompanies', 'its', 'deficiency', 'in', 'the', 'erythrocyte', ',', 'might', 'play', 'a', 'role', 'in', 'the', 'cataracto-genesis', 'of', 'these', 'patients']"
4498,"['Moreover', ',', 'G6PD', 'deficiency', 'should', 'be', 'added', 'to', 'other', 'conditions', ',', 'such', 'as', 'the', 'galactosemic', 'states', 'and', 'riboflavin', 'deficiency', ',', 'where', 'cataracts', 'represent', 'a', 'sensitive', 'indicator', 'of', 'metabolic', 'abnormalities', 'of', 'the', 'RBC']"
4499,[]
4500,"['Molecular', 'basis', 'of', 'human', 'mitochondrial', 'very-long-chain', 'acyl-CoA', 'dehydrogenase', 'deficiency', 'causing', 'cardiomyopathy', 'and', 'sudden', 'death', 'in', 'childhood.', 'beta-Oxidation', 'of', 'long-chain', 'fatty', 'acids', 'provides', 'the', 'major', 'source', 'of', 'energy', 'in', 'the', 'heart']"
4501,"['Defects', 'in', 'enzymes', 'of', 'the', 'beta-oxidation', 'pathway', 'cause', 'sudden', ',', 'unexplained', 'death', 'in', 'childhood', ',', 'acute', 'hepatic', 'encephalopathy', 'or', 'liver', 'failure', ',', 'skeletal', 'myopathy', ',', 'and', 'cardiomyopathy']"
4502,"['Very-long-chain', 'acyl-CoA', 'dehydrogenase', '[', 'VLCAD', ';', 'very-long-chain-acyl-CoA', '(', 'acceptor', ')', '2', ',', '3-oxidoreductase', ',', 'EC', '1']"
4503,"['3', '3']"
4504,"['99', '99']"
4505,"['13', ']', 'catalyzes', 'the', 'first', 'step', 'in', 'beta-oxidation']"
4506,"['We', 'have', 'isolated', 'the', 'human', 'VLCAD', 'cDNA', 'and', 'gene', 'and', 'determined', 'the', 'complete', 'nucleotide', 'sequences']"
4507,"['Polymerase', 'chain', 'reaction', 'amplification', 'of', 'VLCAD', 'mRNA', 'and', 'genomic', 'exons', 'defined', 'the', 'molecular', 'defects', 'in', 'two', 'patients', 'with', 'VLCAD', 'deficiency', 'who', 'presented', 'with', 'unexplained', 'cardiac', 'arrest', 'and', 'cardiomyopathy']"
4508,"['In', 'one', ',', 'a', 'homozygous', 'mutation', 'in', 'the', 'consensus', 'dinucleotide', 'of', 'the', 'donor', 'splice', 'site', '(', 'g', '+', '1--', '>', 'a', ')', 'was', 'associated', 'with', 'universal', 'skipping', 'of', 'the', 'prior', 'exon', '(', 'exon', '11', ')']"
4509,"['The', 'second', 'patient', 'was', 'a', 'compound', 'heterozygote', ',', 'with', 'a', 'missense', 'mutation', ',', 'C1837--', '>', 'T', ',', 'changing', 'the', 'arginine', 'at', 'residue', '613', 'to', 'tryptophan', 'on', 'one', 'allele', 'and', 'a', 'single', 'base', 'deletion', 'at', 'the', 'intron-exon', '6', 'boundary', 'as', 'the', 'second', 'mutation']"
4510,"['This', 'initial', 'delineation', 'of', 'human', 'mutations', 'in', 'VLCAD', 'suggests', 'that', 'VLCAD', 'deficiency', 'reduces', 'myocardial', 'fatty', 'acid', 'beta-oxidation', 'and', 'energy', 'production', 'and', 'is', 'associated', 'with', 'cardiomyopathy', 'and', 'sudden', 'death', 'in', 'childhood']"
4511,"['Aberrant', 'subcellular', 'localization', 'of', 'BRCA1', 'in', 'breast', 'cancer']"
4512,"['The', 'BRCA1', 'gene', 'product', 'was', 'identified', 'as', 'a', '220-kilodalton', 'nuclear', 'phosphoprotein', 'in', 'normal', 'cells', ',', 'including', 'breast', 'ductal', 'epithelial', 'cells', ',', 'and', 'in', '18', 'of', '20', 'tumor', 'cell', 'lines', 'derived', 'from', 'tissues', 'other', 'than', 'breast', 'and', 'ovary']"
4513,"['In', '16', 'of', '17', 'breast', 'and', 'ovarian', 'cancer', 'lines', 'and', '17', 'of', '17', 'samples', 'of', 'cells', 'obtained', 'from', 'malignant', 'effusions', ',', 'however', ',', 'BRCA1', 'localized', 'mainly', 'in', 'cytoplasm']"
4514,"['Absence', 'of', 'BRCA1', 'or', 'aberrant', 'subcellular', 'location', 'was', 'also', 'observed', 'to', 'a', 'variable', 'extent', 'in', 'histological', 'sections', 'of', 'many', 'breast', 'cancer', 'biopsies']"
4515,"['These', 'findings', 'suggest', 'that', 'BRCA1', 'abnormalities', 'may', 'be', 'involved', 'in', 'the', 'pathogenesis', 'of', 'many', 'breast', 'cancers', ',', 'sporadic', 'as', 'well', 'as', 'familial']"
4516,[]
4517,"['Mapping', 'of', 'the', 'mouse', 'homologue', 'of', 'the', 'Wilson', 'disease', 'gene', 'to', 'mouse', 'chromosome', '8.', 'ATP7B', ',', 'the', 'gene', 'altered', 'in', 'Wilson', 'disease', '(', 'WD', ')', 'patients', ',', 'lies', 'in', 'a', 'block', 'of', 'homology', 'shared', 'between', 'human', 'chromosome', '13q14', 'and', 'the', 'central', 'region', 'of', 'mouse', 'chromosome', '14']"
4518,"['However', ',', 'we', 'have', 'mapped', 'the', 'murine', 'homologue', 'of', 'ATP7B', '(', 'Atp7b', ')', 'to', 'mouse', 'chromosome', '8', 'by', 'somatic', 'cell', 'hybrid', 'analysis']"
4519,"['Analysis', 'of', '80', 'interspecific', 'backcross', 'offspring', 'was', 'used', 'to', 'position', 'Atp7b', 'close', 'to', 'D8Mit3', 'and', 'another', 'ATPase', 'locus', ',', 'Atp4b', ',', 'on', 'mouse', 'chromosome', '8']"
4520,"['ATP4B', 'lies', 'in', '13q34', 'and', 'is', 'separated', 'from', 'ATP7B', 'by', 'several', 'loci', 'whose', 'mouse', 'homologues', 'map', 'to', 'mouse', 'chromosome', '14']"
4521,"['The', 'assignment', 'of', 'Atp7b', 'to', 'mouse', 'chromosome', '8', 'identifies', 'a', 'previously', 'unrecognized', 'region', 'of', 'homology', 'between', 'this', 'chromosome', 'and', 'human', 'chromosome', '13']"
4522,"['This', 'assignment', 'suggests', 'a', 'possible', 'location', 'for', 'the', 'toxic', 'milk', 'mutation', 'in', 'the', 'mouse', ',', 'which', 'has', 'been', 'proposed', 'as', 'a', 'homologue', 'of', 'WD']"
4523,[]
4524,"['Germline', 'mutations', 'of', 'the', 'BRCA1', 'gene', 'in', 'breast', 'and', 'ovarian', 'cancer', 'families', 'provide', 'evidence', 'for', 'a', 'genotype-phenotype', 'correlation.', 'Mutations', 'in', 'the', 'BRCA1', 'gene', ',', 'discovered', 'in', '1994', ',', 'are', 'associated', 'with', 'an', '80-90', '%', 'lifetime', 'risk', 'of', 'breast', 'cancer']"
4525,"['We', 'have', 'analysed', '60', 'families', 'with', 'a', 'history', 'of', 'breast', 'and', '/', 'or', 'ovarian', 'cancer', 'for', 'germline', 'mutations', 'in', 'BRCA1']"
4526,"['Twenty-two', 'different', 'mutations', 'were', 'detected', 'in', '32', 'families', '(', '53', '%', ')', ',', 'of', 'which', '14', 'are', 'previously', 'unreported']"
4527,"['We', 'observed', 'a', 'significant', 'correlation', 'between', 'the', 'location', 'of', 'the', 'mutation', 'in', 'the', 'gene', 'and', 'the', 'ratio', 'of', 'breast', 'to', 'ovarian', 'cancer', 'incidence', 'within', 'each', 'family']"
4528,"['Our', 'data', 'suggest', 'a', 'transition', 'in', 'risk', 'such', 'that', 'mutations', 'in', 'the', '3', 'third', 'of', 'the', 'gene', 'are', 'associated', 'with', 'a', 'lower', 'proportion', 'of', 'ovarian', 'cancer']"
4529,"['Haplotype', 'analysis', 'supports', 'previous', 'data', 'which', 'suggest', 'some', 'BRCA1', 'mutation', 'carriers', 'have', 'common', 'ancestors', ';', 'however', ',', 'we', 'have', 'found', 'at', 'least', 'two', 'examples', 'where', 'recurrent', 'mutations', 'appear', 'to', 'have', 'arisen', 'independently']"
4530,[]
4531,"['Hereditary', 'deficiency', 'of', 'the', 'seventh', 'component', 'of', 'complement', 'and', 'recurrent', 'meningococcal', 'infection', ':', 'investigations', 'of', 'an', 'Irish', 'family', 'using', 'a', 'novel', 'haemolytic', 'screening', 'assay', 'for', 'complement', 'activity', 'and', 'C7', 'M/N', 'allotyping.', 'Terminal', 'complement', 'component', 'deficiency', 'predisposes', 'to', 'meningococcal', 'infection', 'and', 'is', 'inherited', 'in', 'an', 'autosomal', 'co-dominant', 'manner']"
4532,"['An', 'Irish', 'family', 'is', 'described', ',', 'in', 'which', '2', 'of', '3', 'brothers', 'had', 'recurrent', 'meningococcal', 'infection']"
4533,"['A', 'novel', 'screening', 'assay', 'was', 'used', 'to', 'investigate', 'for', 'terminal', 'complement', 'deficiency', 'and', 'the', '2', 'affected', 'brothers', 'were', 'found', 'to', 'be', 'completely', 'deficient', 'in', 'the', 'seventh', 'component', 'of', 'complement', '(', 'C7', ')']"
4534,"['Enzyme-linked', 'immunosorbent', 'assay', 'for', 'C7', 'revealed', 'lower', 'than', 'normal', 'levels', 'in', 'the', 'remaining', 'brother', 'and', 'parents']"
4535,"['C7', 'M', '/', 'N', 'protein', 'polymorphism', 'allotyping', ',', 'used', 'to', 'investigate', 'the', 'segregation', 'of', 'the', 'C7', 'deficiency', 'genes', ',', 'showed', 'that', 'the', 'apparently', 'complement', 'sufficient', 'brother', 'was', 'heterozygous', 'C7', 'deficient', 'and', 'a', 'carrier', 'of', 'one', 'of', 'the', 'deficiency', 'genes']"
4536,"['Complement', 'screening', 'should', 'be', 'carried', 'out', 'in', 'any', 'individual', 'suffering', 'recurrent', 'meningococcal', 'infection', 'or', 'infection', 'with', 'an', 'uncommon', 'meningococcal', 'serogroup']"
4537,"['Identification', 'of', 'complement', 'deficient', 'patients', 'allows', 'the', 'implementation', 'of', 'strategies', 'to', 'prevent', 'recurrent', 'infection']"
4538,[]
4539,"['Molecular', 'basis', 'of', 'subtotal', 'complement', 'C6', 'deficiency']"
4540,"['A', 'carboxy-terminally', 'truncated', 'but', 'functionally', 'active', 'C6.', 'Individuals', 'with', 'subtotal', 'complement', 'C6', 'deficiency', 'possess', 'a', 'C6', 'molecule', 'that', 'is', '14', '%', 'shorter', 'than', 'normal', 'C6', 'and', 'present', 'in', 'low', 'but', 'detectable', 'concentrations', '(', '1-2', '%', 'of', 'the', 'normal', 'mean', ')']"
4541,"['We', 'now', 'show', 'that', 'this', 'dysmorphic', 'C6', 'is', 'bactericidally', 'active', 'and', 'lacks', 'an', 'epitope', 'that', 'was', 'mapped', 'to', 'the', 'most', 'carboxy-terminal', 'part', 'of', 'C6', 'using', 'C6', 'cDNA', 'fragments', 'expressed', 'as', 'fusion', 'proteins', 'in', 'the', 'pUEX', 'expression', 'system']"
4542,"['We', 'thus', 'predicted', 'that', 'the', 'abnormal', 'C6', 'molecule', 'might', 'be', 'carboxy-terminally', 'truncated', 'and', 'sought', 'a', 'mutation', 'in', 'an', 'area', 'approximately', '14', '%', 'from', 'the', 'carboxy-terminal', 'end', 'of', 'the', 'coding', 'sequence']"
4543,"['By', 'sequencing', 'PCR-amplified', 'products', 'from', 'this', 'region', ',', 'we', 'found', ',', 'in', 'three', 'individuals', 'from', 'two', 'families', ',', 'a', 'mutation', 'that', 'might', 'plausibly', 'be', 'responsible', 'for', 'the', 'defect']"
4544,"['All', 'three', 'have', 'an', 'abnormal', '5', 'splice', 'donor', 'site', 'of', 'intron', '15', ',', 'which', 'would', 'probably', 'prevent', 'splicing']"
4545,"['An', 'in-frame', 'stop', 'codon', 'is', 'found', '17', 'codons', 'downstream', 'from', 'the', 'intron', 'boundary', ',', 'which', 'would', 'lead', 'to', 'a', 'truncated', 'polypeptide', '13']"
4546,"['5', '%', 'smaller', 'than', 'normal', 'C6']"
4547,"['This', 'result', 'was', 'unexpected', ',', 'as', 'earlier', 'studies', 'mapped', 'the', 'C5b', 'binding', 'site', ',', 'or', 'a', 'putative', 'enzymatic', 'region', ',', 'to', 'this', 'part', 'of', 'C6']"
4548,"['Interestingly', ',', 'all', 'three', 'subjects', 'were', 'probably', 'heterozygous', 'for', 'both', 'subtotal', 'C6', 'and', 'complete', 'C6', 'deficiency']"
4549,"['Myotonic', 'dystrophy', ':', 'evidence', 'for', 'a', 'possible', 'dominant-negative', 'RNA', 'mutation.', 'The', 'trinucleotide', 'expansion', 'mutation', 'causing', 'myotonic', 'dystrophy', 'is', 'in', 'the', '3', 'untranslated', 'region', 'of', 'a', 'protein', 'kinase', 'gene']"
4550,"['The', 'molecular', 'mechanisms', 'by', 'which', 'the', 'expanded', 'repeat', 'causes', 'the', 'clinically', 'variable', 'and', 'multisystemic', 'disease', ',', 'myotonic', 'dystrophy', ',', 'are', 'not', 'understood']"
4551,"['It', 'has', 'been', 'particularly', 'difficult', 'to', 'rationalize', 'the', 'dominant', 'inheritance', 'with', 'the', 'fact', 'that', 'the', 'expansion', 'mutation', 'lies', 'outside', 'of', 'the', 'protein-encoding', 'gene', 'elements', ',', 'and', 'should', 'not', 'be', 'translated', 'into', 'protein']"
4552,"['Here', 'we', 'use', 'muscle', 'biopsies', 'from', 'classical', 'adult-onset', 'myotonic', 'dystrophy', 'patients', 'to', 'study', 'the', 'accumulation', 'of', 'transcripts', 'from', 'both', 'the', 'normal', 'and', 'expanded', 'DM', 'kinase', 'genes', 'in', 'patient', 'muscle', ',', 'and', 'compare', 'the', 'results', 'to', 'normal', 'and', 'myopathic', 'controls']"
4553,"['We', 'found', 'relatively', 'small', 'decreases', 'of', 'DM', 'kinase', 'RNA', 'in', 'the', 'total', 'RNA', 'pool', 'from', 'muscle', ';', 'however', ',', 'these', 'reductions', 'were', 'not', 'disease', 'specific']"
4554,"['Analysis', 'of', 'poly', '(', 'A', ')', '+', 'RNA', 'showed', 'dramatic', 'decreases', 'of', 'both', 'the', 'mutant', 'and', 'normal', 'DM', 'kinase', 'RNAs', ',', 'and', 'these', 'changes', 'were', 'disease-specific']"
4555,"['Our', 'findings', 'are', 'consistent', 'with', 'a', 'novel', 'molecular', 'pathogenetic', 'mechanism', 'for', 'myotonic', 'dystrophy', 'both', 'the', 'normal', 'and', 'expanded', 'DM', 'kinase', 'genes', 'are', 'transcribed', 'in', 'patient', 'muscle', ',', 'but', 'the', 'abnormal', 'expansion-containing', 'RNA', 'has', 'a', 'dominant', 'effect', 'on', 'RNA', 'metabolism', 'by', 'preventing', 'the', 'accumulation', 'of', 'poly', '(', 'A', ')', '+', 'RNA']"
4556,"['The', 'ability', 'of', 'the', 'expansion', 'mutation', 'to', 'alter', 'accumulation', 'of', 'poly', '(', 'A', ')', '+', 'RNA', 'in', 'trans', 'suggests', 'that', 'myotonic', 'dystrophy', 'may', 'be', 'the', 'first', 'example', 'of', 'a', 'dominant-negative', 'mutation', 'manifested', 'at', 'the', 'RNA', 'level']"
4557,[]
4558,"['A', 'strong', 'candidate', 'for', 'the', 'breast', 'and', 'ovarian', 'cancer', 'susceptibility', 'gene', 'BRCA1.', 'A', 'strong', 'candidate', 'for', 'the', '17q-linked', 'BRCA1', 'gene', ',', 'which', 'influences', 'susceptibility', 'to', 'breast', 'and', 'ovarian', 'cancer', ',', 'has', 'been', 'identified', 'by', 'positional', 'cloning', 'methods']"
4559,"['Probable', 'predisposing', 'mutations', 'have', 'been', 'detected', 'in', 'five', 'of', 'eight', 'kindreds', 'presumed', 'to', 'segregate', 'BRCA1', 'susceptibility', 'alleles']"
4560,"['The', 'mutations', 'include', 'an', '11-base', 'pair', 'deletion', ',', 'a', '1-base', 'pair', 'insertion', ',', 'a', 'stop', 'codon', ',', 'a', 'missense', 'substitution', ',', 'and', 'an', 'inferred', 'regulatory', 'mutation']"
4561,"['The', 'BRCA1', 'gene', 'is', 'expressed', 'in', 'numerous', 'tissues', ',', 'including', 'breast', 'and', 'ovary', ',', 'and', 'encodes', 'a', 'predicted', 'protein', 'of', '1863', 'amino', 'acids']"
4562,"['This', 'protein', 'contains', 'a', 'zinc', 'finger', 'domain', 'in', 'its', 'amino-terminal', 'region', ',', 'but', 'is', 'otherwise', 'unrelated', 'to', 'previously', 'described', 'proteins']"
4563,"['Identification', 'of', 'BRCA1', 'should', 'facilitate', 'early', 'diagnosis', 'of', 'breast', 'and', 'ovarian', 'cancer', 'susceptibility', 'in', 'some', 'individuals', 'as', 'well', 'as', 'a', 'better', 'understanding', 'of', 'breast', 'cancer', 'biology']"
4564,[]
4565,"['Molecular', 'characterization', 'of', 'galactosemia', '(type', '1)', 'mutations', 'in', 'Japanese.', 'We', 'characterized', 'two', 'novel', 'mutations', 'of', 'the', 'galactose-1-phosphate', 'uridyltransferase', '(', 'GALT', ')', 'gene', 'in', 'two', 'Japanese', 'patients', 'with', 'GALT', 'deficiency', 'and', 'identified', 'N314D', 'and', 'R333W', 'mutations', ',', 'previously', 'found', 'in', 'Caucasians']"
